Category,SubCategory,Property,Amount,Year,Month
Travel/Vacation,Travel/Vacation - Unassigned,Primary,77.16,2012,August
Automobile,Car Payment,Primary,249.96,2012,September
Automobile,Gasoline,Primary,240.21,2012,September
Bank Charges,Service Charge,Primary,21.9,2012,September
Bills,Cell Phone,Primary,72.75,2012,September
Bills,Electricity,Primary,132.31,2012,September
Bills,Homeowner's Dues,Primary,42.58,2012,September
Bills,Mortgage Payment,Primary,1325.54,2012,September
Bills,Online/Internet Service,Primary,45.14,2012,September
Bills,Telephone,Primary,33.89,2012,September
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1,2012,September
Dining Out,Dining Out,Primary,14.9,2012,September
Entertainment,Entertainment,Primary,122,2012,September
Groceries,Groceries,Primary,612.15,2012,September
Healthcare,Prescriptions,Primary,4.99,2012,September
Hobbies/Leisure,Sporting Goods,Primary,203.35,2012,September
Home Improvement,Home Improvement,Primary,12.07,2012,September
Household,Household - Unassigned,Primary,270.64,2012,September
Insurance,Automobile,Primary,356.5,2012,September
Job Expense,Non-Reimbursed,Primary,400,2012,September
Pet Care,Food,Primary,4.08,2012,September
Taxes,Real Estate Taxes,Primary,615,2012,September
Travel/Vacation,Miscellaneous,Primary,160,2012,September
Automobile,Car Payment,Primary,249.96,2012,October
Automobile,Gasoline,Primary,84.05,2012,October
Bank Charges,Service Charge,Primary,9,2012,October
Bills,Cell Phone,Primary,82.75,2012,October
Bills,Electricity,Primary,132.31,2012,October
Bills,Homeowner's Dues,Primary,42.58,2012,October
Bills,Mortgage Payment,Primary,1988.31,2012,October
Bills,Online/Internet Service,Primary,45.14,2012,October
Bills,Telephone,Primary,33.89,2012,October
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,October
Groceries,Groceries,Primary,658.84,2012,October
Healthcare,Prescriptions,Primary,96.12,2012,October
Household,Household - Unassigned,Primary,109.29,2012,October
Insurance,Automobile,Primary,356.5,2012,October
Insurance,Homeowner's/Renter's,Primary,76.14,2012,October
Job Expense,Non-Reimbursed,Primary,200,2012,October
Travel/Vacation,Miscellaneous,Primary,240.99,2012,October
Automobile,Car Payment,Primary,249.96,2012,November
Automobile,Gasoline,Primary,163.4,2012,November
Bank Charges,Service Charge,Primary,19,2012,November
Bills,Cell Phone,Primary,82.75,2012,November
Bills,Homeowner's Dues,Primary,42.58,2012,November
Bills,Mortgage Payment,Primary,1325.54,2012,November
Bills,Online/Internet Service,Primary,45.14,2012,November
Bills,Telephone,Primary,34.11,2012,November
Bills,Water & Sewer,Primary,78.5,2012,November
Children/Toys,Children/Toys - Unassigned,Primary,57.79,2012,November
Clothing,Clothing,Primary,40,2012,November
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,November
Dining Out,Dining Out,Primary,36,2012,November
Entertainment,Entertainment,Primary,82.85,2012,November
Groceries,Groceries,Primary,469.03,2012,November
Healthcare,Prescriptions,Primary,88.7,2012,November
Home Improvement,Home Improvement,Primary,55.28,2012,November
Household,Furnishings,Primary,80,2012,November
Household,Household - Unassigned,Primary,415.8,2012,November
Insurance,Automobile,Primary,356.5,2012,November
Insurance,Homeowner's/Renter's,Primary,38.07,2012,November
Job Expense,Non-Reimbursed,Primary,400,2012,November
Pet Care,Food,Primary,9.7,2012,November
Travel/Vacation,Miscellaneous,Primary,100,2012,November
Automobile,Car Payment,Primary,249.96,2012,December
Automobile,Gasoline,Primary,85.77,2012,December
Automobile,Maintenance,Primary,370.93,2012,December
Bank Charges,Service Charge,Primary,20.3,2012,December
Bills,Cell Phone,Primary,82.75,2012,December
Bills,Homeowner's Dues,Primary,143.15,2012,December
Bills,Mortgage Payment,Primary,1325.54,2012,December
Bills,Online/Internet Service,Primary,45.14,2012,December
Bills,Telephone,Primary,33.89,2012,December
Childcare,Childcare,Primary,114.3,2012,December
Clothing,Clothing,Primary,113.1,2012,December
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2012,December
Dining Out,Dining Out,Primary,61.66,2012,December
Groceries,Groceries,Primary,917.09,2012,December
Healthcare,Prescriptions,Primary,47.52,2012,December
Home Improvement,Home Improvement,Primary,197.3,2012,December
Household,Household - Unassigned,Primary,212.38,2012,December
Insurance,Automobile,Primary,356.5,2012,December
Insurance,Homeowner's/Renter's,Primary,38.07,2012,December
Job Expense,Non-Reimbursed,Primary,200,2012,December
Services/Memberships,Services/Memberships,Primary,37,2012,December
Travel/Vacation,Miscellaneous,Primary,266,2012,December
Travel/Vacation,Miscellaneous,Primary,70,2012,December
Travel/Vacation,Travel/Vacation - Unassigned,Primary,129.8,2012,December
Automobile,Car Payment,Primary,249.96,2013,January
Automobile,Gasoline,Primary,80.57,2013,January
Bank Charges,Service Charge,Primary,10.65,2013,January
Bills,Cell Phone,Primary,82.75,2013,January
Bills,Homeowner's Dues,Primary,42.58,2013,January
Bills,Membership Fees,Primary,158.2,2013,January
Bills,Mortgage Payment,Primary,1325.54,2013,January
Bills,Online/Internet Service,Primary,45.14,2013,January
Bills,Telephone,Primary,33.89,2013,January
Bills,Water & Sewer,Primary,61.57,2013,January
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,338.45,2013,January
Groceries,Groceries,Primary,774.65,2013,January
Healthcare,Physician,Primary,-595,2013,January
Healthcare,Prescriptions,Primary,76.6,2013,January
Home Improvement,Home Improvement,Primary,25.48,2013,January
Insurance,Automobile,Primary,356.5,2013,January
Insurance,Homeowner's/Renter's,Primary,38.07,2013,January
Job Expense,Non-Reimbursed,Primary,400,2013,January
Safety Deposit Box,Safety Deposit Box,Primary,73.45,2013,January
Travel/Vacation,Miscellaneous,Primary,121.01,2013,January
Automobile,Car Payment,Primary,249.96,2013,February
Automobile,Gasoline,Primary,152.05,2013,February
Bank Charges,Service Charge,Primary,14.95,2013,February
Bills,Cell Phone,Primary,84.75,2013,February
Bills,Electricity,Primary,29.14,2013,February
Bills,Mortgage Payment,Primary,1325.54,2013,February
Bills,Online/Internet Service,Primary,45.14,2013,February
Bills,Telephone,Primary,33.89,2013,February
Clothing,Clothing,Primary,132.42,2013,February
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-329.45,2013,February
Groceries,Groceries,Primary,695.89,2013,February
Healthcare,Physician,Primary,-525,2013,February
Healthcare,Prescriptions,Primary,57.13,2013,February
Home Improvement,Home Improvement,Primary,45.18,2013,February
Household,Household - Unassigned,Primary,20.32,2013,February
Insurance,Automobile,Primary,356.5,2013,February
Job Expense,Non-Reimbursed,Primary,200,2013,February
Pet Care,Food,Primary,8.53,2013,February
Taxes,Real Estate Taxes,Primary,602,2013,February
Travel/Vacation,Miscellaneous,Primary,1068.19,2013,February
Automobile,Car Payment,Primary,249.96,2013,March
Automobile,Gasoline,Primary,126.71,2013,March
Bank Charges,Service Charge,Primary,27.37,2013,March
Bills,Cell Phone,Primary,84.75,2013,March
Bills,Electricity,Primary,82.63,2013,March
Bills,Mortgage Payment,Primary,1325.54,2013,March
Bills,Online/Internet Service,Primary,45.14,2013,March
Bills,Telephone,Primary,33.89,2013,March
Childcare,Childcare,Primary,152.4,2013,March
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,804.77,2013,March
Dining Out,Dining Out,Primary,63.62,2013,March
Education,Education - Unassigned,Primary,4.25,2013,March
Entertainment,Entertainment,Primary,28.25,2013,March
Groceries,Groceries,Primary,737.74,2013,March
Healthcare,Physician,Primary,-50,2013,March
Healthcare,Prescriptions,Primary,53.68,2013,March
Home Improvement,Home Improvement,Primary,41.75,2013,March
Household,Household - Unassigned,Primary,302.03,2013,March
Insurance,Automobile,Primary,328.37,2013,March
Insurance,Homeowner's/Renter's,Primary,38.07,2013,March
Job Expense,Non-Reimbursed,Primary,336,2013,March
Taxes,Real Estate Taxes,Primary,602,2013,March
Travel/Vacation,Miscellaneous,Primary,73.84,2013,March
Travel/Vacation,Travel/Vacation - Unassigned,Primary,66.73,2013,March
Automobile,Car Payment,Primary,249.96,2013,April
Automobile,Gasoline,Primary,152.34,2013,April
Automobile,Maintenance,Primary,1493.31,2013,April
Bank Charges,Service Charge,Primary,17.95,2013,April
Bills,Cell Phone,Primary,84.75,2013,April
Bills,Electricity,Primary,77.9,2013,April
Bills,Homeowner's Dues,Primary,27.17,2013,April
Bills,Mortgage Payment,Primary,1988.31,2013,April
Bills,Online/Internet Service,Primary,45.14,2013,April
Bills,Telephone,Primary,34.11,2013,April
Bills,Water & Sewer,Primary,107.74,2013,April
Childcare,Childcare,Primary,118,2013,April
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-798.04,2013,April
Entertainment,Entertainment,Primary,36.15,2013,April
Groceries,Groceries,Primary,652.88,2013,April
Healthcare,Prescriptions,Primary,129.58,2013,April
Home Improvement,Home Improvement,Primary,117.5,2013,April
Household,Furnishings,Primary,1112,2013,April
Household,Yard Service,Primary,58.46,2013,April
Insurance,Automobile,Primary,328.33,2013,April
Insurance,Homeowner's/Renter's,Primary,76.14,2013,April
Job Expense,Non-Reimbursed,Primary,400,2013,April
Pet Care,Food,Primary,27.46,2013,April
Taxes,Real Estate Taxes,Primary,602,2013,April
Travel/Vacation,Miscellaneous,Primary,403.69,2013,April
Automobile,Car Payment,Primary,249.96,2013,May
Automobile,Gasoline,Primary,74.94,2013,May
Bank Charges,Service Charge,Primary,30.59,2013,May
Bills,Cell Phone,Primary,84.75,2013,May
Bills,Electricity,Primary,84.31,2013,May
Bills,Homeowner's Dues,Primary,42.58,2013,May
Bills,Membership Fees,Primary,667.49,2013,May
Bills,Mortgage Payment,Primary,1325.54,2013,May
Bills,Online/Internet Service,Primary,45.14,2013,May
Bills,Telephone,Primary,33.89,2013,May
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2013,May
Dining Out,Dining Out,Primary,53.72,2013,May
Groceries,Groceries,Primary,870.41,2013,May
Healthcare,Physician,Primary,-150,2013,May
Healthcare,Prescriptions,Primary,14.1,2013,May
Home Improvement,Home Improvement,Primary,30.47,2013,May
Household,Yard Service,Primary,232.04,2013,May
Insurance,Automobile,Primary,328.33,2013,May
Insurance,Homeowner's/Renter's,Primary,38.07,2013,May
Job Expense,Non-Reimbursed,Primary,300,2013,May
Pet Care,Food,Primary,24.65,2013,May
Travel/Vacation,Miscellaneous,Primary,90.12,2013,May
Automobile,Car Payment,Primary,249.96,2013,June
Automobile,Gasoline,Primary,74.2,2013,June
Bank Charges,Service Charge,Primary,183.45,2013,June
Bills,Cell Phone,Primary,114.75,2013,June
Bills,Electricity,Primary,60.97,2013,June
Bills,Homeowner's Dues,Primary,42.58,2013,June
Bills,Mortgage Payment,Primary,1325.54,2013,June
Bills,Online/Internet Service,Primary,45.14,2013,June
Bills,Telephone,Primary,33.89,2013,June
Childcare,Childcare,Primary,207.8,2013,June
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,22,2013,June
Dining Out,Dining Out,Primary,41.58,2013,June
Entertainment,Entertainment,Primary,14.95,2013,June
Groceries,Groceries,Primary,702.39,2013,June
Hobbies/Leisure,Sporting Goods,Primary,324.71,2013,June
Home Improvement,Home Improvement,Primary,69.86,2013,June
Household,Yard Service,Primary,58.46,2013,June
Insurance,Automobile,Primary,328.33,2013,June
Job Expense,Non-Reimbursed,Primary,200,2013,June
Travel/Vacation,Miscellaneous,Primary,168.54,2013,June
Automobile,Car Payment,Primary,249.96,2013,July
Automobile,Gasoline,Primary,238.01,2013,July
Bank Charges,Service Charge,Primary,19.45,2013,July
Bills,Cell Phone,Primary,85.83,2013,July
Bills,Electricity,Primary,64.3,2013,July
Bills,Homeowner's Dues,Primary,42.58,2013,July
Bills,Mortgage Payment,Primary,1325.54,2013,July
Bills,Natural Gas/Oil,Primary,229.93,2013,July
Bills,Online/Internet Service,Primary,45.14,2013,July
Bills,Telephone,Primary,33.89,2013,July
Bills,Water & Sewer,Primary,114.74,2013,July
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-316,2013,July
Dining Out,Dining Out,Primary,41.79,2013,July
Entertainment,Entertainment,Primary,37.5,2013,July
Groceries,Groceries,Primary,731.25,2013,July
Hobbies/Leisure,Entertaining,Primary,143.2,2013,July
Hobbies/Leisure,Sporting Goods,Primary,16.94,2013,July
Household,Household - Unassigned,Primary,209.78,2013,July
Insurance,Automobile,Primary,328.33,2013,July
Insurance,Homeowner's/Renter's,Primary,76.14,2013,July
Job Expense,Non-Reimbursed,Primary,300,2013,July
Payment,Payment,Primary,415,2013,July
Pet Care,Food,Primary,12.98,2013,July
Pet Care,Pet Care - Unassigned,Primary,66.56,2013,July
Taxes,Real Estate Taxes,Primary,647.62,2013,July
Travel/Vacation,Miscellaneous,Primary,153.19,2013,July
Automobile,Car Payment,Primary,249.96,2013,August
Automobile,Gasoline,Primary,258.19,2013,August
Automobile,Maintenance,Primary,19.78,2013,August
Bank Charges,Service Charge,Primary,17.95,2013,August
Bills,Cell Phone,Primary,79.1,2013,August
Bills,Cellular,Primary,298.36,2013,August
Bills,Electricity,Primary,118.66,2013,August
Bills,Homeowner's Dues,Primary,42.58,2013,August
Bills,Mortgage Payment,Primary,1325.54,2013,August
Bills,Natural Gas/Oil,Primary,31.48,2013,August
Bills,Online/Internet Service,Primary,45.14,2013,August
Bills,Telephone,Primary,33.89,2013,August
Childcare,Childcare,Primary,215.7,2013,August
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-100,2013,August
Dining Out,Dining Out,Primary,92.39,2013,August
Gifts,Gifts,Primary,104.55,2013,August
Groceries,Groceries,Primary,433.5,2013,August
Healthcare,Physician,Primary,-100,2013,August
Healthcare,Prescriptions,Primary,10.3,2013,August
Hobbies/Leisure,Movies & Video Rentals,Primary,19.5,2013,August
Household,Household - Unassigned,Primary,6.35,2013,August
Household,Yard Service,Primary,46.29,2013,August
Insurance,Automobile,Primary,328.33,2013,August
Insurance,Homeowner's/Renter's,Primary,38.07,2013,August
Job Expense,Non-Reimbursed,Primary,300,2013,August
Pet Care,Food,Primary,26.66,2013,August
Taxes,Real Estate Taxes,Primary,645,2013,August
Travel/Vacation,Miscellaneous,Primary,279.98,2013,August
Automobile,Car Payment,Primary,249.96,2013,September
Automobile,Gasoline,Primary,82.43,2013,September
Bank Charges,Service Charge,Primary,17.95,2013,September
Bills,Cell Phone,Primary,79.1,2013,September
Bills,Cellular,Primary,22.6,2013,September
Bills,Electricity,Primary,119.84,2013,September
Bills,Homeowner's Dues,Primary,42.58,2013,September
Bills,Mortgage Payment,Primary,1325.54,2013,September
Bills,Natural Gas/Oil,Primary,68,2013,September
Bills,Online/Internet Service,Primary,45.14,2013,September
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,60,2013,September
Dining Out,Dining Out,Primary,53.47,2013,September
Groceries,Groceries,Primary,425.56,2013,September
Healthcare,Prescriptions,Primary,46.3,2013,September
Household,Household - Unassigned,Primary,4.33,2013,September
Insurance,Automobile,Primary,328.33,2013,September
Insurance,Homeowner's/Renter's,Primary,51.59,2013,September
Job Expense,Non-Reimbursed,Primary,300,2013,September
Pet Care,Pet Care - Unassigned,Primary,64.36,2013,September
Taxes,Real Estate Taxes,Primary,645,2013,September
Travel/Vacation,Miscellaneous,Primary,-119.98,2013,September
Automobile,Car Payment,Primary,249.96,2013,October
Automobile,Gasoline,Primary,214.38,2013,October
Bank Charges,Service Charge,Primary,17.95,2013,October
Bills,Cell Phone,Primary,79.1,2013,October
Bills,Electricity,Primary,119.32,2013,October
Bills,Homeowner's Dues,Primary,42.58,2013,October
Bills,Mortgage Payment,Primary,1988.31,2013,October
Bills,Natural Gas/Oil,Primary,68,2013,October
Bills,Online/Internet Service,Primary,45.14,2013,October
Bills,Telephone,Primary,33.89,2013,October
Bills,Water & Sewer,Primary,147.52,2013,October
Childcare,Childcare,Primary,79,2013,October
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,31,2013,October
Dining Out,Dining Out,Primary,87.68,2013,October
Entertainment,Entertainment,Primary,26.9,2013,October
Gifts,Gifts,Primary,24,2013,October
Groceries,Groceries,Primary,678.51,2013,October
Healthcare,Eyecare,Primary,260,2013,October
Healthcare,Physician,Primary,-250,2013,October
Household,Household - Unassigned,Primary,28.24,2013,October
Insurance,Automobile,Primary,328.33,2013,October
Insurance,Homeowner's/Renter's,Primary,51.47,2013,October
Investment,Investment,Primary,1399,2013,October
Job Expense,Non-Reimbursed,Primary,300,2013,October
Pet Care,Food,Primary,46.27,2013,October
Travel/Vacation,Miscellaneous,Primary,98.54,2013,October
Travel/Vacation,Travel/Vacation - Unassigned,Primary,19,2013,October
Automobile,Car Payment,Primary,249.96,2013,November
Automobile,Gasoline,Primary,82.15,2013,November
Automobile,Maintenance,Primary,10.22,2013,November
Bank Charges,Service Charge,Primary,17.95,2013,November
Bills,Cell Phone,Primary,79.1,2013,November
Bills,Electricity,Primary,64.1,2013,November
Bills,Homeowner's Dues,Primary,42.58,2013,November
Bills,Mortgage Payment,Primary,1325.54,2013,November
Bills,Natural Gas/Oil,Primary,68,2013,November
Bills,Online/Internet Service,Primary,45.14,2013,November
Bills,Telephone,Primary,33.89,2013,November
Childcare,Childcare,Primary,104.1,2013,November
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2013,November
Dining Out,Dining Out,Primary,35.67,2013,November
Entertainment,Entertainment,Primary,34.85,2013,November
Groceries,Groceries,Primary,639.83,2013,November
Healthcare,Physician,Primary,-350,2013,November
Healthcare,Prescriptions,Primary,8.8,2013,November
Home Improvement,Home Improvement,Primary,17.48,2013,November
Household,Household - Unassigned,Primary,33.89,2013,November
Insurance,Automobile,Primary,328.33,2013,November
Job Expense,Non-Reimbursed,Primary,200,2013,November
Pet Care,Food,Primary,20.51,2013,November
Travel/Vacation,Lodging,Primary,79.95,2013,November
Travel/Vacation,Miscellaneous,Primary,100,2013,November
Automobile,Car Payment,Primary,249.96,2013,December
Automobile,Gasoline,Primary,166.31,2013,December
